miRNA,symbol,score
hsa-miR-4782-5p,CHL1,89.5623021058
hsa-miR-5706,CHL1,89.5623021058
hsa-miR-3680-3p,CHL1,89.1562
hsa-miR-140-3p,CHL1,87.6254009762
hsa-miR-4282,CHL1,87.3464
hsa-miR-4659a-3p,CHL1,87.2226863704
hsa-miR-4659b-3p,CHL1,87.2226863704
hsa-miR-4256,CHL1,87.0297516831804
hsa-miR-3143,CHL1,86.6997288704
hsa-miR-449c-3p,CHL1,86.2776
hsa-miR-130a-5p,CHL1,85.9279748812903
hsa-miR-4307,CHL1,85.4209
hsa-miR-5581-3p,CHL1,83.7659098486794
hsa-miR-5680,CHL1,83.706107154
hsa-miR-548ai,CHL1,83.6885377979028
hsa-miR-570-5p,CHL1,83.6885377979028
hsa-miR-4262,CHL1,83.3512464020315
hsa-miR-11181-5p,CHL1,83.2874542133112
hsa-miR-15b-3p,CHL1,83.1730365808
hsa-miR-10527-5p,CHL1,82.9657646542561
hsa-miR-1277-5p,CHL1,82.7516113876467
hsa-miR-6077,CHL1,82.5717529671
hsa-miR-7702,CHL1,82.3885
hsa-miR-330-5p,CHL1,82.1229
hsa-miR-329-3p,CHL1,81.8137
hsa-miR-362-3p,CHL1,81.8137
hsa-miR-6512-5p,CHL1,81.618917302
hsa-miR-8060,CHL1,81.5972226590613
hsa-miR-3663-3p,CHL1,81.2964
hsa-miR-649,CHL1,81.2587493123122
hsa-miR-6885-3p,CHL1,81.239817004368
hsa-miR-326,CHL1,80.9926
hsa-miR-3978,CHL1,80.886
hsa-miR-27a-3p,CHL1,80.8526058274
hsa-miR-27b-3p,CHL1,80.8526058274
hsa-miR-513a-5p,CHL1,80.786
hsa-miR-340-5p,CHL1,79.7227019261086
hsa-miR-6515-3p,CHL1,79.5675
hsa-miR-5583-3p,CHL1,79.2581001175798
hsa-miR-3609,CHL1,78.9697937015
hsa-miR-548ah-5p,CHL1,78.9697937015
hsa-miR-338-5p,CHL1,78.768402634
hsa-miR-181a-5p,CHL1,78.7145515075801
hsa-miR-181b-5p,CHL1,78.7145515075801
hsa-miR-181c-5p,CHL1,78.7145515075801
hsa-miR-181d-5p,CHL1,78.7145515075801
hsa-miR-4725-5p,CHL1,78.6498
hsa-miR-504-5p,CHL1,78.6498
hsa-miR-3660,CHL1,78.3677
hsa-miR-4526,CHL1,78.3677
hsa-miR-4275,CHL1,78.1994
hsa-miR-3667-5p,CHL1,78.0117
hsa-miR-548aw,CHL1,77.8967531078
hsa-miR-4762-3p,CHL1,77.8480815537877
hsa-miR-200a-5p,CHL1,77.580281944
hsa-miR-200b-5p,CHL1,77.580281944
hsa-miR-4652-5p,CHL1,77.401
hsa-miR-3620-3p,CHL1,77.3993
hsa-miR-3144-3p,CHL1,77.0629
hsa-miR-548ag,CHL1,76.9944212392059
hsa-miR-548ba,CHL1,76.9944212392059
hsa-miR-568,CHL1,76.884071125
hsa-miR-8055,CHL1,76.8325510383
hsa-miR-653-5p,CHL1,76.6425518269
hsa-miR-1229-3p,CHL1,76.4045240464
hsa-miR-4666a-3p,CHL1,75.997533247
hsa-miR-9902,CHL1,75.8720063278
hsa-miR-1250-3p,CHL1,75.7743159037145
hsa-miR-3662,CHL1,75.0668553625
hsa-miR-3622a-3p,CHL1,74.9492
hsa-miR-3622b-3p,CHL1,74.9492
hsa-miR-3915,CHL1,74.7085798105
hsa-miR-4755-5p,CHL1,74.5774
hsa-miR-5006-3p,CHL1,74.5774
hsa-miR-3139,CHL1,74.0853
hsa-miR-936,CHL1,74.004143966
hsa-miR-873-3p,CHL1,73.7696703280136
hsa-miR-4753-3p,CHL1,73.662236596
hsa-miR-218-5p,CHL1,73.5900246268
hsa-miR-182-5p,CHL1,73.3611
hsa-miR-9985,CHL1,73.2249115237
hsa-miR-548c-3p,CHL1,73.153597947
hsa-miR-6875-3p,CHL1,72.5343645247
hsa-miR-629-3p,CHL1,72.5101
hsa-miR-548p,CHL1,72.4458425117216
hsa-miR-4328,CHL1,72.2215585459101
hsa-miR-12136,CHL1,72.0193651701683
hsa-miR-5009-3p,CHL1,71.8484
hsa-miR-670-5p,CHL1,71.7122
hsa-miR-4699-5p,CHL1,71.6694
hsa-miR-590-3p,CHL1,71.6040841782104
hsa-miR-3182,CHL1,71.50415
hsa-miR-4504,CHL1,71.3906
hsa-miR-6715b-3p,CHL1,71.0184
hsa-miR-7159-5p,CHL1,70.8776724475575
hsa-miR-571,CHL1,70.7105
hsa-miR-29a-5p,CHL1,70.5211533463
hsa-miR-582-5p,CHL1,70.3961
hsa-miR-548as-3p,CHL1,70.2049604632811
hsa-miR-4514,CHL1,70.1629269664
hsa-miR-28-5p,CHL1,70.0594
hsa-miR-708-5p,CHL1,70.0594
hsa-miR-499a-5p,CHL1,69.8839038432
hsa-miR-146b-3p,CHL1,69.8787
hsa-miR-548at-5p,CHL1,69.7767603832
hsa-miR-548m,CHL1,69.7764494045031
hsa-miR-3914,CHL1,69.7148142808
hsa-miR-345-3p,CHL1,69.5328
hsa-miR-3668,CHL1,69.1547
hsa-miR-2052,CHL1,69.0367824652
hsa-miR-6842-5p,CHL1,68.9722
hsa-miR-7110-5p,CHL1,68.9722
hsa-miR-4670-3p,CHL1,68.9135
hsa-miR-6804-3p,CHL1,68.5774
hsa-miR-3942-3p,CHL1,68.4987
hsa-miR-6514-3p,CHL1,68.309734312
hsa-miR-4269,CHL1,68.2905276145
hsa-miR-6715b-5p,CHL1,68.2905276145
hsa-miR-205-3p,CHL1,68.0067559648
hsa-miR-12129,CHL1,67.7602208068
hsa-miR-3145-3p,CHL1,67.3859179436
hsa-miR-6752-5p,CHL1,67.2526
hsa-miR-151a-3p,CHL1,66.7008
hsa-miR-496,CHL1,66.6376
hsa-miR-6811-3p,CHL1,66.160564267
hsa-miR-335-3p,CHL1,65.5498
hsa-miR-6772-3p,CHL1,65.4142
hsa-miR-4447,CHL1,65.0433
hsa-miR-214-5p,CHL1,65.0031224144
hsa-miR-4795-3p,CHL1,64.4188975744
hsa-let-7a-3p,CHL1,64.377858207
hsa-let-7b-3p,CHL1,64.377858207
hsa-let-7f-1-3p,CHL1,64.377858207
hsa-miR-98-3p,CHL1,64.377858207
hsa-miR-4517,CHL1,64.2529688268518
hsa-miR-23a-3p,CHL1,64.1828
hsa-miR-23b-3p,CHL1,64.1828
hsa-miR-433-3p,CHL1,63.8902
hsa-miR-3192-3p,CHL1,63.7296858836
hsa-miR-548ac,CHL1,63.5348061241794
hsa-miR-548bb-3p,CHL1,63.5348061241794
hsa-miR-548d-3p,CHL1,63.5348061241794
hsa-miR-548h-3p,CHL1,63.5348061241794
hsa-miR-548z,CHL1,63.5348061241794
hsa-miR-6737-5p,CHL1,63.1126
hsa-miR-6819-5p,CHL1,63.1126
hsa-miR-4495,CHL1,62.6091013882
hsa-miR-5010-3p,CHL1,62.5228779932
hsa-miR-605-5p,CHL1,62.1801
hsa-miR-337-3p,CHL1,62.0481
hsa-miR-6812-5p,CHL1,62.0084
hsa-miR-323a-3p,CHL1,61.9649
hsa-miR-642a-5p,CHL1,61.962
hsa-miR-548e-5p,CHL1,61.871960464
hsa-miR-532-5p,CHL1,61.8594
hsa-miR-4277,CHL1,61.7115630704
hsa-miR-32-3p,CHL1,61.6680788868395
hsa-miR-4775,CHL1,61.660370017612
hsa-miR-4452,CHL1,61.6256041735
hsa-miR-183-3p,CHL1,61.5616526404
hsa-miR-561-3p,CHL1,61.383151336
hsa-miR-520d-5p,CHL1,61.312568195
hsa-miR-524-5p,CHL1,61.312568195
hsa-miR-202-5p,CHL1,61.2105
hsa-miR-607,CHL1,60.9396120806
hsa-miR-587,CHL1,60.6046
hsa-miR-548aj-3p,CHL1,60.5182065056449
hsa-miR-548x-3p,CHL1,60.5182065056449
hsa-miR-6505-3p,CHL1,60.4883
hsa-miR-376a-2-5p,CHL1,60.472616068
hsa-miR-490-3p,CHL1,59.7836972228
hsa-miR-148a-5p,CHL1,59.6206958
hsa-miR-4692,CHL1,59.3869509113
hsa-miR-3123,CHL1,59.3459149312
hsa-miR-23c,CHL1,59.1423
hsa-miR-16-2-3p,CHL1,58.8406
hsa-miR-195-3p,CHL1,58.8406
hsa-miR-338-3p,CHL1,58.443158542
hsa-miR-6715a-3p,CHL1,58.2906
hsa-miR-300,CHL1,57.8505593249958
hsa-miR-381-3p,CHL1,57.8505593249958
hsa-miR-4718,CHL1,57.5074
hsa-miR-190b-3p,CHL1,56.8345
hsa-miR-4432,CHL1,56.4561830537
hsa-miR-4472,CHL1,56.1691
hsa-miR-30a-3p,CHL1,56.0971718545
hsa-miR-30d-3p,CHL1,56.0971718545
hsa-miR-30e-3p,CHL1,56.0971718545
hsa-miR-6826-3p,CHL1,55.3992
hsa-miR-33a-3p,CHL1,55.3312285364
hsa-miR-2681-5p,CHL1,55.3080784664
hsa-miR-548ae-3p,CHL1,55.2175476417021
hsa-miR-548ah-3p,CHL1,55.2175476417021
hsa-miR-548am-3p,CHL1,55.2175476417021
hsa-miR-548aq-3p,CHL1,55.2175476417021
hsa-miR-548j-3p,CHL1,55.2175476417021
hsa-miR-518c-5p,CHL1,55.1642051761
hsa-miR-1468-3p,CHL1,55.1378
hsa-miR-5699-3p,CHL1,54.6826
hsa-miR-219a-1-3p,CHL1,54.302227132
hsa-miR-10523-5p,CHL1,54.2244563928
hsa-miR-4263,CHL1,54.080071464
hsa-miR-576-5p,CHL1,54.080071464
hsa-miR-1290,CHL1,54.062559729
hsa-miR-3184-5p,CHL1,53.8947
hsa-miR-423-5p,CHL1,53.8947
hsa-miR-10a-5p,CHL1,53.7397
hsa-miR-10b-5p,CHL1,53.7397
hsa-miR-1178-3p,CHL1,53.7101
hsa-miR-5697,CHL1,53.647753117
hsa-miR-3202,CHL1,53.5771
hsa-miR-4533,CHL1,53.5771
hsa-miR-6747-3p,CHL1,53.4731
hsa-miR-6073,CHL1,53.4303
hsa-miR-3133,CHL1,53.1003
hsa-miR-379-3p,CHL1,52.858925011
hsa-miR-380-3p,CHL1,52.858925011
hsa-miR-411-3p,CHL1,52.858925011
hsa-miR-410-3p,CHL1,52.8280169121
hsa-miR-7159-3p,CHL1,52.6218863420297
hsa-miR-4731-5p,CHL1,52.6088
hsa-miR-122b-3p,CHL1,52.595603084
hsa-miR-21-3p,CHL1,52.595603084
hsa-miR-130b-5p,CHL1,51.9694607965
hsa-miR-4446-5p,CHL1,51.7003355152
hsa-miR-4448,CHL1,50.8392
hsa-miR-8065,CHL1,50.1877296441
hsa-miR-1206,CHL1,50.1492334456
hsa-miR-10399-5p,CHL1,50.0
hsa-miR-526b-5p,CHL1,50.0
hsa-miR-5682,CHL1,50.0
hsa-miR-585-5p,CHL1,50.0
hsa-miR-6504-3p,CHL1,50.0
hsa-miR-3149,CRISP3,91.65388
hsa-miR-552-5p,CRISP3,89.4758
hsa-miR-4677-5p,CRISP3,87.5272738225
hsa-miR-493-5p,CRISP3,86.4131
hsa-miR-5011-5p,CRISP3,85.6395
hsa-miR-5089-5p,CRISP3,85.4359
hsa-miR-4328,CRISP3,84.4228571973535
hsa-miR-3194-5p,CRISP3,83.1871
hsa-miR-545-5p,CRISP3,82.6721
hsa-miR-182-5p,CRISP3,82.6414
hsa-miR-508-5p,CRISP3,81.7368046906
hsa-miR-3606-5p,CRISP3,80.736534784
hsa-miR-190a-3p,CRISP3,79.2861
hsa-miR-548c-3p,CRISP3,77.2305864096967
hsa-miR-6777-3p,CRISP3,75.484
hsa-miR-520e-5p,CRISP3,75.0608478208
hsa-miR-4474-5p,CRISP3,74.8916
hsa-miR-6787-3p,CRISP3,74.8877
hsa-miR-4687-5p,CRISP3,74.5140597932
hsa-miR-582-5p,CRISP3,73.7899
hsa-miR-551b-5p,CRISP3,73.2604355413721
hsa-miR-7856-5p,CRISP3,73.0392
hsa-miR-4668-3p,CRISP3,72.746
hsa-miR-10395-3p,CRISP3,71.4519614365
hsa-miR-630,CRISP3,71.4482
hsa-miR-33a-5p,CRISP3,70.0543060588
hsa-miR-33b-5p,CRISP3,70.0543060588
hsa-miR-3151-3p,CRISP3,68.3267
hsa-miR-3160-5p,CRISP3,65.8884
hsa-miR-4477b,CRISP3,65.7822
hsa-miR-4282,CRISP3,64.99961261295
hsa-miR-4457,CRISP3,64.2053
hsa-miR-4445-5p,CRISP3,62.9014059775
hsa-miR-6739-3p,CRISP3,62.6300755984
hsa-miR-4755-5p,CRISP3,61.3099894555
hsa-miR-5006-3p,CRISP3,61.3099894555
hsa-miR-335-3p,CRISP3,60.6109191172
hsa-miR-129-1-3p,CRISP3,60.3468176982
hsa-miR-129-2-3p,CRISP3,60.3468176982
hsa-miR-6779-3p,CRISP3,60.3468176982
hsa-miR-5002-5p,CRISP3,60.2567
hsa-miR-4662a-3p,CRISP3,58.7381
hsa-miR-3183,CRISP3,58.6034
hsa-miR-4723-3p,CRISP3,58.6034
hsa-miR-6769b-3p,CRISP3,58.6034
hsa-miR-656-3p,CRISP3,57.1602
hsa-miR-1238-5p,CRISP3,56.2635
hsa-miR-4758-5p,CRISP3,56.2635
hsa-miR-3614-5p,CRISP3,54.4769
hsa-miR-500b-3p,CRISP3,53.9079
hsa-miR-4284,CRISP3,53.7745
hsa-miR-12127,CRISP3,52.8101
hsa-miR-548at-5p,CRISP3,51.2695
hsa-miR-203a-3p,CRISP3,51.0396
hsa-miR-12133,CRISP3,51.0016
hsa-miR-1257,CRISP3,50.0
hsa-miR-4266,CRISP3,50.0
hsa-miR-182-5p,CTTN,99.481939493915
hsa-miR-96-5p,CTTN,98.4047929403
hsa-miR-12133,CTTN,98.35586060896
hsa-miR-548e-5p,CTTN,98.25644
hsa-miR-1271-5p,CTTN,98.09775804286
hsa-miR-3613-3p,CTTN,97.9971130289036
hsa-miR-495-5p,CTTN,97.61753
hsa-miR-4470,CTTN,97.53795613
hsa-miR-4711-5p,CTTN,94.94701702405
hsa-miR-338-5p,CTTN,94.2750623686
hsa-miR-548aa,CTTN,92.8521096459958
hsa-miR-548ap-3p,CTTN,92.8521096459958
hsa-miR-548t-3p,CTTN,92.8521096459958
hsa-miR-548as-3p,CTTN,90.485791764739
hsa-miR-3685,CTTN,88.4557
hsa-miR-545-3p,CTTN,87.6443
hsa-miR-10393-5p,CTTN,86.5577
hsa-miR-7114-5p,CTTN,85.7547
hsa-miR-134-3p,CTTN,85.2080462574
hsa-miR-33a-3p,CTTN,83.5797
hsa-miR-142-3p,CTTN,82.8231
hsa-miR-548v,CTTN,82.3375
hsa-miR-4775,CTTN,80.8311
hsa-miR-4680-3p,CTTN,79.7752
hsa-miR-1224-3p,CTTN,78.0441642364
hsa-miR-6776-5p,CTTN,77.2711
hsa-miR-3614-3p,CTTN,75.5458
hsa-miR-4422,CTTN,73.1143061836
hsa-miR-6728-3p,CTTN,70.4108
hsa-miR-32-3p,CTTN,68.7235
hsa-miR-6887-3p,CTTN,67.7074
hsa-miR-548p,CTTN,65.6687414805703
hsa-miR-3942-3p,CTTN,65.6434
hsa-miR-448,CTTN,63.7799
hsa-miR-4766-3p,CTTN,62.1262
hsa-miR-939-3p,CTTN,61.9364924053
hsa-miR-382-5p,CTTN,59.0603
hsa-miR-4289,CTTN,58.4047
hsa-miR-187-5p,CTTN,57.7757
hsa-miR-221-3p,CTTN,57.7757
hsa-miR-222-3p,CTTN,57.7757
hsa-miR-6826-3p,CTTN,56.7351
hsa-miR-1207-5p,CTTN,55.3667
hsa-miR-4763-3p,CTTN,55.3667
hsa-miR-4793-3p,CTTN,54.7319835133228
hsa-miR-548l,CTTN,54.6376
hsa-miR-3681-5p,CTTN,54.5364
hsa-miR-6849-5p,CTTN,54.5364
hsa-miR-12117,CTTN,54.4667
hsa-miR-1229-5p,CTTN,53.9682
hsa-miR-3163,CTTN,53.71043566
hsa-miR-548c-3p,CTTN,53.4644
hsa-miR-4666a-3p,CTTN,52.3612
hsa-miR-154-3p,CTTN,51.7344
hsa-miR-487a-3p,CTTN,51.7344
hsa-miR-8070,CTTN,51.3544
hsa-miR-548ac,CTTN,51.2957692691881
hsa-miR-548bb-3p,CTTN,51.2957692691881
hsa-miR-548d-3p,CTTN,51.2957692691881
hsa-miR-548h-3p,CTTN,51.2957692691881
hsa-miR-548z,CTTN,51.2957692691881
hsa-miR-4481,CTTN,50.6503239243
hsa-miR-1250-3p,CTTN,50.0
hsa-miR-3144-5p,ECEL1,90.9057432817
hsa-miR-3184-5p,ECEL1,75.9938194945
hsa-miR-423-5p,ECEL1,75.9938194945
hsa-miR-7854-3p,ECEL1,69.6635
hsa-miR-4492,ECEL1,64.8887670296
hsa-miR-4763-5p,ECEL1,62.9866
hsa-miR-3689d,ECEL1,58.6097
hsa-miR-6851-5p,ECEL1,58.6097
hsa-miR-4447,ECEL1,58.0369
hsa-miR-4652-5p,ECEL1,57.8632
hsa-miR-3191-3p,ECEL1,56.4724
hsa-miR-148a-3p,ECEL1,55.5276
hsa-miR-148b-3p,ECEL1,55.5276
hsa-miR-152-3p,ECEL1,55.5276
hsa-miR-762,ECEL1,54.1656437969
hsa-miR-1237-5p,ECEL1,52.7757
hsa-miR-4488,ECEL1,52.7757
hsa-miR-4697-5p,ECEL1,52.7757
hsa-miR-4700-5p,ECEL1,52.1497
hsa-miR-6858-3p,ECEL1,50.7716
hsa-miR-4498,ECEL1,50.6760129691
hsa-miR-5001-5p,ECEL1,50.6760129691
hsa-miR-6867-5p,FLNC,99.996772133983
hsa-miR-891a-3p,FLNC,81.5958
hsa-miR-558,FLNC,80.9523
hsa-miR-6846-5p,FLNC,79.2485396765
hsa-miR-6797-3p,FLNC,76.5633
hsa-miR-19a-3p,FLNC,76.2865
hsa-miR-19b-3p,FLNC,76.2865
hsa-miR-6076,FLNC,74.8567
hsa-miR-486-3p,FLNC,74.1105
hsa-miR-3665,FLNC,72.7151
hsa-miR-6848-5p,FLNC,69.3359623438
hsa-miR-4659a-3p,FLNC,67.9878
hsa-miR-4659b-3p,FLNC,67.9878
hsa-miR-3691-3p,FLNC,63.4072513903
hsa-miR-548aj-5p,FLNC,62.0447
hsa-miR-548f-5p,FLNC,62.0447
hsa-miR-548g-5p,FLNC,62.0447
hsa-miR-548x-5p,FLNC,62.0447
hsa-miR-3934-5p,FLNC,61.9373
hsa-miR-142-3p,FLNC,61.3495
hsa-miR-6764-5p,FLNC,60.5464
hsa-miR-6825-5p,FLNC,60.259441027
hsa-miR-147a,FLNC,59.119423621
hsa-miR-4447,FLNC,56.8105
hsa-miR-644a,FLNC,55.3894486312
hsa-miR-4736,FLNC,55.1416
hsa-miR-1972,FLNC,53.1357423536423
hsa-miR-942-5p,FLNC,51.6828
hsa-miR-1237-5p,FLNC,51.3484
hsa-miR-4488,FLNC,51.3484
hsa-miR-4697-5p,FLNC,51.3484
hsa-miR-5010-3p,FLNC,51.0424
hsa-miR-6802-3p,FLNC,50.8921
hsa-miR-4477b,FLRT3,99.19068757606
hsa-miR-323a-3p,FLRT3,99.1778882049818
hsa-miR-335-3p,FLRT3,98.2987397726395
hsa-miR-101-3p,FLRT3,97.9296105796
hsa-miR-7856-5p,FLRT3,97.0711138976
hsa-miR-6882-5p,FLRT3,96.1924115511225
hsa-miR-4633-5p,FLRT3,94.82291085836
hsa-miR-548ad-5p,FLRT3,94.6594865022
hsa-miR-548ae-5p,FLRT3,94.6594865022
hsa-miR-548ak,FLRT3,94.6594865022
hsa-miR-548am-5p,FLRT3,94.6594865022
hsa-miR-548as-5p,FLRT3,94.6594865022
hsa-miR-548au-5p,FLRT3,94.6594865022
hsa-miR-548ay-5p,FLRT3,94.6594865022
hsa-miR-548b-5p,FLRT3,94.6594865022
hsa-miR-548bb-5p,FLRT3,94.6594865022
hsa-miR-548c-5p,FLRT3,94.6594865022
hsa-miR-548d-5p,FLRT3,94.6594865022
hsa-miR-548h-5p,FLRT3,94.6594865022
hsa-miR-548o-5p,FLRT3,94.6594865022
hsa-miR-548w,FLRT3,94.6594865022
hsa-miR-653-5p,FLRT3,94.41440923558
hsa-miR-936,FLRT3,93.8767274540213
hsa-miR-548a-5p,FLRT3,93.8567995486
hsa-miR-548ab,FLRT3,93.8567995486
hsa-miR-548ap-5p,FLRT3,93.8567995486
hsa-miR-548aq-5p,FLRT3,93.8567995486
hsa-miR-548ar-5p,FLRT3,93.8567995486
hsa-miR-548i,FLRT3,93.8567995486
hsa-miR-548j-5p,FLRT3,93.8567995486
hsa-miR-548y,FLRT3,93.8567995486
hsa-miR-559,FLRT3,93.8567995486
hsa-miR-4773,FLRT3,93.5545262886
hsa-miR-875-3p,FLRT3,92.72532
hsa-miR-510-3p,FLRT3,92.3195
hsa-miR-5584-3p,FLRT3,92.30965
hsa-miR-6516-5p,FLRT3,91.92927
hsa-miR-4282,FLRT3,91.6814187149896
hsa-miR-6853-3p,FLRT3,91.232171308
hsa-miR-542-3p,FLRT3,91.01029
hsa-miR-3191-5p,FLRT3,90.7724329279
hsa-miR-196a-3p,FLRT3,89.5216
hsa-miR-4645-3p,FLRT3,89.3417
hsa-miR-550b-3p,FLRT3,89.3302
hsa-miR-8076,FLRT3,89.2143
hsa-miR-3973,FLRT3,89.0494
hsa-miR-8084,FLRT3,88.949
hsa-miR-5010-3p,FLRT3,88.2638134775764
hsa-miR-124-5p,FLRT3,88.1133332652
hsa-miR-3157-5p,FLRT3,88.0454070838
hsa-miR-2116-5p,FLRT3,86.8961
hsa-miR-374c-5p,FLRT3,85.9928076176
hsa-miR-655-3p,FLRT3,85.9928076176
hsa-miR-224-3p,FLRT3,85.0466
hsa-miR-522-3p,FLRT3,85.0466
hsa-miR-548ah-5p,FLRT3,84.4208533823
hsa-miR-548n,FLRT3,84.4066742264
hsa-miR-3609,FLRT3,83.6733657369
hsa-miR-148a-5p,FLRT3,83.6279
hsa-miR-4804-3p,FLRT3,83.5298
hsa-let-7a-2-3p,FLRT3,83.2630223155
hsa-let-7g-3p,FLRT3,83.2630223155
hsa-miR-320a-3p,FLRT3,82.025
hsa-miR-320b,FLRT3,82.025
hsa-miR-320c,FLRT3,82.025
hsa-miR-320d,FLRT3,82.025
hsa-miR-4429,FLRT3,82.025
hsa-miR-1305,FLRT3,81.4172632473731
hsa-miR-548az-5p,FLRT3,81.3287826014625
hsa-miR-548t-5p,FLRT3,81.3287826014625
hsa-miR-27a-3p,FLRT3,80.8296
hsa-miR-27b-3p,FLRT3,80.8296
hsa-miR-9985,FLRT3,80.8296
hsa-miR-199a-5p,FLRT3,80.6115
hsa-miR-199b-5p,FLRT3,80.6115
hsa-miR-5582-5p,FLRT3,80.5443
hsa-miR-4291,FLRT3,80.5048
hsa-miR-651-3p,FLRT3,80.4734944076
hsa-miR-183-5p,FLRT3,80.1831
hsa-miR-4759,FLRT3,79.5842
hsa-miR-19a-5p,FLRT3,79.3844
hsa-miR-19b-1-5p,FLRT3,79.3844
hsa-miR-19b-2-5p,FLRT3,79.3844
hsa-miR-6811-3p,FLRT3,78.4744
hsa-miR-12136,FLRT3,77.6115
hsa-miR-3171,FLRT3,76.9331
hsa-miR-4695-3p,FLRT3,76.5042
hsa-miR-5007-3p,FLRT3,76.381279056
hsa-miR-144-3p,FLRT3,75.8581628575
hsa-miR-3922-5p,FLRT3,75.8566
hsa-miR-4448,FLRT3,75.0539
hsa-miR-659-3p,FLRT3,75.0115
hsa-miR-6844,FLRT3,74.8639
hsa-miR-6079,FLRT3,72.1517
hsa-miR-1306-5p,FLRT3,71.8436
hsa-miR-224-5p,FLRT3,71.6371
hsa-miR-5089-3p,FLRT3,71.6045
hsa-miR-3180-5p,FLRT3,71.5276
hsa-miR-193a-3p,FLRT3,71.353
hsa-miR-193b-3p,FLRT3,71.353
hsa-miR-1279,FLRT3,71.278
hsa-miR-4738-3p,FLRT3,71.2571
hsa-miR-125b-2-3p,FLRT3,70.935
hsa-miR-4708-3p,FLRT3,70.8537
hsa-miR-6735-3p,FLRT3,70.7269
hsa-miR-1299,FLRT3,70.0087
hsa-miR-222-5p,FLRT3,69.6038391894
hsa-miR-3117-3p,FLRT3,69.4967
hsa-miR-4528,FLRT3,69.2453
hsa-miR-300,FLRT3,69.2249161504
hsa-miR-381-3p,FLRT3,69.2249161504
hsa-miR-4662a-5p,FLRT3,69.2221
hsa-miR-4676-5p,FLRT3,66.5489
hsa-miR-575,FLRT3,66.5489
hsa-miR-450b-5p,FLRT3,66.3016977932
hsa-miR-526b-5p,FLRT3,66.1383
hsa-miR-4694-3p,FLRT3,66.129943738
hsa-miR-4470,FLRT3,65.6526
hsa-miR-9718,FLRT3,65.2361
hsa-miR-6782-3p,FLRT3,65.2232
hsa-miR-12123,FLRT3,64.9592
hsa-miR-4504,FLRT3,64.8535
hsa-miR-1193,FLRT3,64.691
hsa-miR-4476,FLRT3,64.6397
hsa-miR-6876-5p,FLRT3,64.6397
hsa-miR-6838-3p,FLRT3,64.4946
hsa-miR-4445-5p,FLRT3,64.1829757306
hsa-miR-329-5p,FLRT3,64.0329
hsa-miR-4464,FLRT3,64.0329
hsa-miR-4748,FLRT3,64.0329
hsa-miR-3924,FLRT3,63.4982
hsa-miR-199a-3p,FLRT3,63.3495530305
hsa-miR-199b-3p,FLRT3,63.3495530305
hsa-miR-3129-5p,FLRT3,63.3495530305
hsa-miR-513a-3p,FLRT3,63.2099708776
hsa-miR-513c-3p,FLRT3,63.2099708776
hsa-miR-377-3p,FLRT3,63.1822
hsa-miR-145-5p,FLRT3,62.4524
hsa-miR-5195-3p,FLRT3,62.4524
hsa-miR-375-3p,FLRT3,62.4503
hsa-miR-3926,FLRT3,62.4415
hsa-miR-6721-5p,FLRT3,62.427
hsa-miR-302a-5p,FLRT3,62.1343
hsa-miR-548as-3p,FLRT3,61.581049534
hsa-miR-4764-3p,FLRT3,61.1375
hsa-miR-7159-5p,FLRT3,60.935001117
hsa-miR-9-5p,FLRT3,60.7386
hsa-miR-3606-3p,FLRT3,60.6673047007
hsa-miR-1270,FLRT3,60.5282
hsa-miR-4641,FLRT3,60.2611
hsa-miR-6734-5p,FLRT3,60.2054
hsa-miR-4328,FLRT3,59.7902878832
hsa-miR-369-3p,FLRT3,59.719208358
hsa-miR-3680-3p,FLRT3,59.2817
hsa-miR-507,FLRT3,59.2817
hsa-miR-490-3p,FLRT3,59.0872
hsa-miR-649,FLRT3,59.0872
hsa-miR-3190-5p,FLRT3,58.7141
hsa-miR-6502-3p,FLRT3,58.4764
hsa-miR-5692b,FLRT3,58.0433
hsa-miR-5692c,FLRT3,58.0433
hsa-miR-520g-3p,FLRT3,58.0264
hsa-miR-520h,FLRT3,58.0264
hsa-miR-628-5p,FLRT3,57.9422
hsa-miR-802,FLRT3,57.7247
hsa-miR-12129,FLRT3,57.69
hsa-miR-130a-5p,FLRT3,57.5952
hsa-miR-518c-5p,FLRT3,57.4099
hsa-miR-8075,FLRT3,57.4021
hsa-miR-3611,FLRT3,57.1399
hsa-miR-2052,FLRT3,57.1285
hsa-miR-6737-3p,FLRT3,57.0798
hsa-miR-7157-3p,FLRT3,57.0798
hsa-miR-6839-5p,FLRT3,56.8581
hsa-miR-4778-5p,FLRT3,56.7226
hsa-miR-301a-5p,FLRT3,56.5525
hsa-miR-301b-5p,FLRT3,56.5525
hsa-miR-619-5p,FLRT3,56.4576
hsa-miR-6506-5p,FLRT3,56.4576
hsa-miR-29b-2-5p,FLRT3,56.4143
hsa-miR-124-3p,FLRT3,56.4042
hsa-miR-506-3p,FLRT3,56.4042
hsa-miR-3065-5p,FLRT3,56.2931607596
hsa-miR-6508-5p,FLRT3,56.2903
hsa-miR-561-3p,FLRT3,55.943516611
hsa-miR-1914-5p,FLRT3,55.1867
hsa-miR-16-1-3p,FLRT3,55.0476
hsa-miR-8065,FLRT3,54.7383
hsa-miR-624-3p,FLRT3,54.6454
hsa-miR-6830-5p,FLRT3,54.6378
